Longitude,Latitude,Sorex_araneus,Sorex_minutus,Crocidura_russula,Crocidura_leucodon,Suncus_etruscus,Sorex_coronatus,Crocidura_suaveolens,Bio01,Bio02,Bio08,Bio15,Bio18,Bio19
12.3618995,47.70004434,1,1,1,1,0,0,0,6.787048636,8.022111179,15.01146305,33.72920376,475.5555555,219.2222222
17.04949873,47.8140326,1,1,0,1,0,0,0,10.02298891,8.65495183,18.91275253,25.91544334,201.5,109.375
16.58389451,47.84303929,1,0,0,0,0,0,1,9.959132826,8.470453134,18.17854514,29.86645927,205.5833333,97.83333333
15.15275135,47.60408892,1,0,0,0,0,0,0,5.392000878,7.870675361,13.6726077,33.40855721,430.6666666,192.0833333
16.11782684,47.8700692,1,0,0,0,0,0,0,9.395638033,8.277300312,18.05409027,32.55361993,227.75,99.41666666
15.65132756,47.89511928,1,0,0,0,0,0,0,7.989812487,7.903971337,16.6047708,33.14958247,293.125,131.125
15.18442873,47.91818669,1,0,0,0,0,0,0,7.477667311,8.136084665,16.10463014,35.34097455,337.4375,147.0625
13.31348712,47.99058045,1,0,0,0,0,0,0,7.644065962,8.045954857,16.11515972,27.73066579,441.4166666,240.9166666
14.71716267,47.93926881,1,0,0,0,0,0,0,7.919703977,8.084876712,16.64910761,33.64515525,325.0833333,149.25
13.78165908,47.97546775,1,0,0,0,0,0,0,7.598177099,7.98124481,16.20517191,25.92463258,415.0625,234
14.24956189,47.95836322,1,0,0,0,0,0,0,7.829546001,7.978112833,16.54747572,29.73326246,350.6666666,179.3333333
12.84507903,48.00369957,1,0,0,0,0,0,0,8.01557682,8.23355469,16.56279422,29.94357657,436.375,224.125
16.62465143,48.15654121,1,0,0,0,0,0,0,9.959132826,8.470453134,18.17854514,29.86645927,205.5833333,97.83333333
15.21660634,48.23222497,1,0,0,0,0,0,0,7.003240446,8.29107465,15.68886452,33.65677809,306.6666666,142.1666666
17.093094,48.12732802,1,1,0,1,0,0,0,10.02298891,8.65495183,18.91275253,25.91544334,201.5,109.375
13.33410448,48.30513729,1,0,0,0,0,0,0,8.278730344,8.092696754,17.07759728,23.38525046,318.1111111,200.2222222
15.68637488,48.20899271,1,0,0,0,0,0,0,9.234624107,7.863831573,18.08889921,39.96799039,222.5833333,83.25
14.74646164,48.2534579,1,0,0,0,0,0,0,7.476673599,8.422490671,16.26129628,30.22251111,308.1111111,161.4444444
13.80517714,48.28991619,1,0,0,0,0,0,0,7.965802974,8.198783004,16.76150698,21.83933736,328.0833333,218.0833333
14.27597408,48.27268906,1,0,0,0,0,0,0,7.741217598,8.358453664,16.57949535,25.96575062,317.3333333,189.7777777
16.66605411,48.46997695,1,0,0,0,0,0,1,9.856750019,8.293425967,18.71769912,31.36787369,214.7777777,102.5555555
16.19424288,48.4973954,1,0,0,0,0,0,0,9.60482292,8.001937587,17.46642589,33.03639126,206.1111111,93.44444444
15.72197879,48.52280602,1,0,0,0,0,0,0,9.234624107,7.863831573,18.08889921,39.96799039,222.5833333,83.25
15.24929548,48.54620583,1,0,0,0,0,0,0,7.905613382,7.953768496,16.64899059,38.55467743,266.5555555,105.2222222
14.30280689,48.58696221,1,0,0,0,0,0,0,7.741217598,8.358453664,16.57949535,25.96575062,317.3333333,189.7777777
14.77622681,48.56759207,1,0,0,0,0,0,0,7.476673599,8.422490671,16.26129628,30.22251111,308.1111111,161.4444444
13.82907001,48.60431396,1,0,0,0,0,0,0,6.482597643,7.976609353,14.90734635,19.62475774,334.375,270.25
17.13737912,48.44055389,1,0,0,0,0,0,0,9.637595508,8.442972251,18.95234729,33.92200388,259.0833333,118
16.7081172,48.78334839,1,0,0,0,0,0,0,9.499014767,8.211574669,18.006816,38.66484991,212,87
15.75815194,48.83656124,1,0,0,0,0,0,0,8.285942052,8.097298139,16.91901817,41.90437908,223.0625,81.9375
16.23336655,48.81096589,1,0,0,0,0,0,0,9.258713556,8.185159759,17.01248954,39.94982706,205.5833333,80.66666666
15.2825078,48.86013137,1,0,0,0,0,0,0,7.2434418,8.155237847,16.13588182,39.81103892,246.8333333,95.33333333
14.80646882,48.88167344,1,0,0,0,0,0,0,7.328639785,8.459578161,16.15699664,29.87368564,281.0833333,150.6666666
9.620694571,39.82893268,0,0,1,0,1,0,1,13.63699388,8.274117378,9.522792561,48.46836987,70.41666666,230.6666666
3.23308378,42.45165369,0,0,1,0,1,0,1,14.12526978,9.084943477,14.05959015,28.34636556,118.3333333,149.5555555
9.135496229,45.51579151,1,0,0,1,0,0,1,11.95309897,9.662065985,15.40140626,24.53267099,271.3333333,189.4166666
6.846012743,46.41879854,1,0,1,0,0,1,0,6.226987832,7.973097187,5.973593721,11.38372268,344.1666666,355.8333333
8.657260507,46.77198587,1,0,0,0,0,0,0,3.756311635,7.179262173,11.39419445,18.19776483,466.5,300.8333333
7.714692644,47.38653886,1,1,1,0,0,0,0,8.546970468,8.358309047,16.04998262,14.26518612,369.8333333,286.1666666
-0.692013782,47.51737252,1,1,1,0,0,1,1,11.8214676,8.661115735,6.508518566,20.73648682,131.7777777,217.5555555
5.678968794,49.53199223,1,1,1,1,0,1,0,8.930683174,7.796189263,3.066378473,17.20510026,205.3333333,273.1666666
5.650775161,49.84609523,1,1,1,1,0,1,0,8.222291027,7.310425808,2.081679701,13.89959178,224.6875,271
5.165099737,49.82642489,1,1,1,0,0,0,0,8.980505177,7.364635399,7.625140556,9.38350716,235.8125,232.4375
5.133263605,50.14033744,1,1,1,1,0,0,0,8.980505177,7.364635399,7.625140556,9.38350716,235.8125,232.4375
4.679806794,49.80467844,1,1,1,1,0,0,0,9.144461791,7.602027792,6.421486039,9.905261426,220.75,224.8333333
4.644802766,50.11842652,1,1,1,1,0,1,0,9.144461791,7.602027792,6.421486039,9.905261426,220.75,224.8333333
5.622116605,50.16015673,1,1,1,1,0,0,0,8.441926202,7.255921871,4.593187473,10.87881255,245.6666666,259.5
6.111322986,50.17788179,1,1,1,1,0,1,0,8.396393229,7.375494761,2.822156255,13.03440963,214.0833333,250.3333333
5.100899183,50.4542081,1,1,1,1,0,0,0,9.465761274,7.45583156,15.19776035,10.20686425,228.1666666,197.1666666
3.627221247,50.38166302,1,1,1,0,0,1,0,10.12255092,7.712689747,7.102763871,12.52460127,186.2222222,173.2222222
4.117979419,50.40794713,1,1,1,1,0,1,0,9.762868087,7.728648174,6.754171267,10.701985,206.7777777,199.5555555
6.085427312,50.49203954,1,1,0,1,0,0,0,7.616740728,6.973375015,1.581981475,12.98207781,253,304.8888888
3.584531579,50.69493545,1,0,1,1,0,1,0,10.2362743,7.47083677,7.597697941,15.82338813,196,183.8333333
5.592982049,50.47417887,1,1,0,0,0,1,0,9.289444449,7.330180568,14.72113427,10.37584808,247.1111111,211.7777777
4.573040008,50.74579056,1,1,1,0,0,0,0,10.17768835,7.534453096,7.092840231,11.70806553,207.75,189.75
4.0785392,50.72142164,0,0,1,0,0,1,0,10.25768752,7.487927106,7.207013876,12.24230203,204.0833333,191.9166666
5.563360053,50.78816381,1,1,1,1,0,1,0,9.955962661,7.753126701,16.9120937,12.55582465,231.4166666,190.8333333
5.067993792,50.76803895,1,0,0,0,0,0,0,10.12196481,7.588101534,12.80271087,12.17930985,217.6875,187.875
