length,gravid,zebra,month,weight
64.5,n,n,j,-0.912354257
73.5,n,n,j,-0.493409291
58,n,y,j,0.150507925
76.5,y,y,j,0.1317483
70.5,y,n,j,-0.964289163
61.5,n,n,j,-0.488133764
76.5,n,n,j,-0.8092517
59.5,y,n,j,-0.578448832
62.5,y,n,j,-0.206541393
68.5,y,y,j,-0.114835706
65.5,n,y,j,-0.036106814
55.5,y,n,j,0.489247641
66.5,n,n,j,0.578678108
69.5,n,y,j,-0.178482809
58.5,n,n,j,-0.623825033
64.5,n,n,j,0.311645743
55.5,n,n,j,0.175247641
53.5,y,n,j,-0.382975851
50.5,n,n,j,0.165728059
51.5,y,n,j,-0.705741231
54,n,n,j,0.115528392
54.5,n,n,j,-0.133085251
49,n,n,j,-0.148269821
58,n,n,j,-0.087492075
45.5,n,n,j,-0.205539351
53.5,n,n,j,0.092024149
48,n,n,j,-0.130152737
53.5,n,n,j,-0.137975851
47,n,n,j,-0.380476506
49.5,n,n,j,-0.168672226
76.5,y,n,k,0.1627483
87,y,y,k,0.4115308
65.5,n,y,k,-0.380106814
75.5,y,n,k,-2.003821249
65.5,n,n,k,-0.671106814
76,n,n,k,0.761000474
76,y,n,k,1.414000474
70.5,n,n,k,-0.062289163
62.5,n,n,k,0.403458607
69,n,y,k,0.239724748
78.5,y,y,k,-0.122437545
75.5,n,n,k,-0.758821249
71.5,n,n,k,-0.023429264
60.5,n,y,k,0.999505984
69.5,n,n,k,0.982517191
83.5,n,n,k,1.458180158
76,n,n,k,-0.105999526
74.5,n,n,k,1.004401193
78.5,n,n,k,-0.064437545
70.5,n,n,k,0.112710837
76.5,y,n,k,-0.0902517
67.5,y,n,k,0.304826517
71,n,n,k,-0.258931584
67.5,n,n,k,0.804826517
68.5,n,n,k,-1.665835706
74,y,n,k,0.304489128
64.5,n,n,k,-0.242354257
70.5,y,y,k,1.522710837
59.5,n,n,k,-0.524448832
63.5,n,n,k,1.377109641
58.5,n,n,k,-0.106825033
66.5,n,n,k,-0.675321892
64.5,n,n,k,0.040645743
63.5,n,n,k,0.202109641
